id,source_id,source_cutoff,question_text,trigger_span,answer_text,answer_span,answer_score,snippet_has_arg1_of,trigger_has_arg1_of,answer_has_arg2_of
starshade.S78.Q1,starshade,4239,Why do you call it a flower pedal sharshade?,"[4215, 4237]",If they make the pedals right it gives them a shadow.,"[4350.0, 4376.0]",3.0,['EntRel:nan'],['EntRel:nan'],"['EntRel:nan', 'Explicit:Expansion.Conjunction', 'Implicit:Contingency.Cause.Result']"
starshade.S85.Q1,starshade,4378,How do you make the edges of the petal exactly right?,"[4254, 4289]",,,1.0,['EntRel:nan'],[],[]
starshade.S87.Q1,starshade,4534,Why does it have to be bigger than a thumb?,"[4512, 4532]",If it holds right in the shadows you can see the planets.,"[4693.0, 4726.0]",3.0,['Implicit:Expansion.Level-of-detail.Arg2-as-detail'],['Implicit:Expansion.Level-of-detail.Arg2-as-detail'],"['Explicit:Expansion.Conjunction', 'Explicit:Temporal.Asynchronous.Precedence']"
starshade.S89.Q1,starshade,4728,Why is it the size of half a football field?,"[4570, 4591]",,,1.0,['EntRel:nan'],['EntRel:nan'],[]
starshade.S93.Q1,starshade,5004,Why do the petals unfurl?,"[4943, 4960]",,,1.0,['Explicit:Temporal.Asynchronous.Precedence'],[],[]
starshade.S99.Q1,starshade,5172,Why does it flip?,"[5016, 5027]",,,1.0,['AltLex:Contingency.Cause.Result'],[],[]
starshade.S93.Q2,starshade,5004,Where does the telescope turn?,"[4980, 5002]",Telescope goes 50k kilometers away,"[5045.0, 5086.0]",3.0,['Explicit:Temporal.Asynchronous.Precedence'],['Explicit:Temporal.Asynchronous.Precedence'],['Explicit:Temporal.Asynchronous.Precedence']
starshade.S99.Q2,starshade,5172,What do you do with the shadow?,"[5144, 5170]",,,1.0,['AltLex:Contingency.Cause.Result'],['AltLex:Contingency.Cause.Result'],[]
starshade.S91.Q1,starshade,4910,Why does it start wrapped around a hub?,"[4878, 4908]",It unfurls and the telescope turns around.,"[4976.0, 5002.0]",3.0,['Implicit:Temporal.Asynchronous.Precedence'],['Implicit:Temporal.Asynchronous.Precedence'],['Implicit:Temporal.Asynchronous.Precedence']
starshade.S48.Q1,starshade,2742,What inspiration did he take,"[2709, 2724]",it is a solar eclipse,"[2863.0, 2899.0]",3.0,['EntRel:nan'],['EntRel:nan'],"['Implicit:Expansion.Conjunction', 'Explicit:Contingency.Cause.Result']"
